,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff
0,11 Comae Berenices b,305,19.4 Jupiters,4.74,2007,11 Com b,11 Com,2,1.0,Radial Velocity,2007.0,Xinglong Station,0.0,326.03,0.32,-0.32,0.0,1.29,0.05,-0.05,0.0,12.1,,,0.0,1.08,,,0.0,6165.6,476.7,-476.7,0,19.4,1.5,-1.5,0.0,Msini,0.231,0.005,-0.005,0.0,,,,,,,,,0,G8 III,4742.0
1,11 Ursae Minoris b,410,14.74 Jupiters,5.016,2009,11 UMi b,11 UMi,1,1.0,Radial Velocity,2009.0,Thueringer Landessternwarte Tautenburg,0.0,516.21997,3.2,-3.2,0.0,1.53,0.07,-0.07,0.0,12.3,,,0.0,1.09,,,0.0,4684.8142,794.575,-794.575,0,14.74,2.5,-2.5,0.0,Msini,0.08,0.03,-0.03,0.0,,,,,,,,,0,K4 III,4213.0
2,14 Andromedae b,247,4.8 Jupiters,5.227,2008,14 And b,14 And,1,1.0,Radial Velocity,2008.0,Okayama Astrophysical Observatory,0.0,185.84,0.23,-0.23,0.0,0.83,,,0.0,12.9,,,0.0,1.15,,,0.0,1525.5,,,0,4.8,,,0.0,Msini,0.0,,,0.0,,,,,,,,,0,K0 III,4813.0
3,14 Herculis b,59,4.66 Jupiters,6.61,2002,14 Her b,14 Her,1,2.0,Radial Velocity,2002.0,W. M. Keck Observatory,0.0,1773.40002,2.5,-2.5,0.0,2.93,0.08,-0.08,0.0,12.9,,,0.0,1.15,,,0.0,1481.0878,47.6745,-47.6745,0,4.66,0.15,-0.15,0.0,Msini,0.37,0.0,0.0,0.0,,,,,,,,,0,K0 V,5338.0
4,16 Cygni B b,69,1.78 Jupiters,6.25,1996,16 Cyg B b,16 Cyg B,3,1.0,Radial Velocity,1996.0,Multiple Observatories,0.0,798.5,1.0,-1.0,0.0,1.66,0.03,-0.03,0.0,13.5,,,0.0,1.2,,,0.0,565.7374,25.4264,-25.4264,0,1.78,0.08,-0.08,0.0,Msini,0.68,0.02,-0.02,0.0,,,,,,,,,0,G3 V,5750.0
5,18 Delphini b,249,10.3 Jupiters,5.506,2008,18 Del b,18 Del,2,1.0,Radial Velocity,2008.0,Okayama Astrophysical Observatory,0.0,993.3,3.2,-3.2,0.0,2.6,,,0.0,12.5,,,0.0,1.11,,,0.0,3273.5,,,0,10.3,,,0.0,Msini,0.08,0.01,-0.01,0.0,,,,,,,,,0,G6 III,4979.0
6,1RXS J160929.1-210524 b,473,8 Jupiters,12.057,2008,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1.0,Imaging,2008.0,Gemini Observatory,0.0,,,,,330.0,,,0.0,18.647,,,0.0,1.664,,,0.0,3000.0,300.0,-300.0,0,8.0,1.0,-1.0,0.0,Mass,,,,,,,,,1700,100.0,-100.0,0.0,0,K7 V,4060.0
7,24 Bootis b,314,0.91 Jupiters,5.58,2018,24 Boo b,24 Boo,1,1.0,Radial Velocity,2018.0,Okayama Astrophysical Observatory,0.0,30.3506,0.0078,-0.0077,0.0,0.19,0.012,-0.009,0.0,13.9,,,0.0,1.24,,,0.0,289.2253,41.3179,-31.783,0,0.91,0.13,-0.1,0.0,Msini,0.042,0.048,-0.029,0.0,,,,,,,,,0,G3 IV,4893.0
8,24 Sextantis b,236,1.99 Jupiters,6.441,2010,24 Sex b,24 Sex,1,2.0,Radial Velocity,2010.0,Lick Observatory,0.0,452.8,2.1,-4.5,0.0,1.333,0.004,-0.009,0.0,13.4,,,0.0,1.19,,,0.0,632.46,82.63,-120.77,0,1.99,0.26,-0.38,0.0,Msini,0.09,0.14,-0.06,0.0,,,,,,,,,0,K0 IV,5098.0
9,24 Sextantis c,236,0.86 Jupiters,6.441,2010,24 Sex c,24 Sex,1,2.0,Radial Velocity,2010.0,Lick Observatory,0.0,883.0,32.4,-13.8,0.0,2.08,0.05,-0.02,0.0,13.9,,,0.0,1.24,,,0.0,273.32,111.24,-69.92,0,0.86,0.35,-0.22,0.0,Msini,0.29,0.16,-0.09,0.0,,,,,,,,,0,K0 IV,5098.0
10,2MASS J01033563-5515561 AB b,154,13 Jupiters,,2013,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1.0,Imaging,2013.0,Paranal Observatory,0.0,,,,,84.0,,,0.0,12.3,,,0.0,1.1,,,0.0,4131.79,317.83,-317.83,0,13.0,1.0,-1.0,0.0,Mass,,,,,,,,,,,,,0,M5.5/M6,
11,2MASS J01225093-2439505 b,117,24.5 Jupiters,14.24,2013,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1.0,Imaging,2013.0,W. M. Keck Observatory,0.0,,,,,52.0,6.0,-6.0,0.0,11.209,,,0.0,1.0,,,0.0,7786.5,794.5,-794.5,0,24.5,2.5,-2.5,0.0,Mass,,,,,,,,,1600,100.0,-100.0,0.0,0,M3.5 V,3530.0
12,2MASS J02192210-3925225 b,129,13.9 Jupiters,15.012,2015,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1.0,Imaging,2015.0,Cerro Tololo Inter-American Observatory,0.0,,,,,156.0,10.0,-10.0,0.0,16.141,0.336,-0.336,0.0,1.44,0.03,-0.03,0.0,4417.837,349.613,-349.613,0,13.9,1.1,-1.1,0.0,Mass,,,,,,,,,,,,,0,M6,3064.0
13,2MASS J04414489+2301513 b,457,7.5 Jupiters,18.967,2010,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1.0,Imaging,2010.0,Hubble Space Telescope,0.0,,,,,15.0,,,0.0,12.6,,,0.0,1.13,,,0.0,2383.6,794.5,-794.5,0,7.5,2.5,-2.5,0.0,Mass,,,,,,,,,,,,,0,M8.5,2936.0
14,2MASS J12073346-3932539 b,210,4 Jupiters,20.15,2004,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1.0,Imaging,2004.0,Paranal Observatory,0.0,,,,,55.0,,,0.0,12.9,,,0.0,1.15,,,0.0,1589.15,635.66,-635.66,0,5.0,2.0,-2.0,0.0,Mass,,,,,,,,,1250,200.0,-200.0,0.0,0,M8,2825.0
15,2MASS J19383260+4603591 b,1307,1.9 Jupiters,12.138,2015,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1.0,Eclipse Timing Variations,2015.0,Kepler,0.0,416.0,2.0,-2.0,0.0,0.92,0.02,-0.02,0.0,13.4,,,0.0,1.2,,,0.0,603.877,31.783,-31.783,0,1.9,0.1,-0.1,0.0,Mass,,,,,,,,,,,,,0,,10868.0
16,2MASS J21402931+1625183 A b,82,20.95 Jupiters,17.396,2009,2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1.0,Imaging,2009.0,W. M. Keck Observatory,0.0,7336.5,1934.5,-584.0,0.0,,,,,10.31,4.37,-4.04,0.0,0.92,0.39,-0.36,0.0,6657.48,26629.91,-6657.48,0,20.95,83.79,-20.95,0.0,Mass,0.26,0.06,-0.06,0.0,,,,,2075,70.0,-70.0,0.0,0,M8.5,2300.0
17,2MASS J22362452+4751425 b,241,12.5 Jupiters,12.51,2016,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1.0,Imaging,2016.0,W. M. Keck Observatory,0.0,,,,,230.0,20.0,-20.0,0.0,12.3,,,0.0,1.1,,,0.0,3972.875,476.745,-476.745,0,12.5,1.5,-1.5,0.0,Mass,,,,,,,,,,,,,0,K7 V,4045.0
18,30 Arietis B b,146,13.82 Jupiters,6.962,2009,30 Ari B b,30 Ari B,4,1.0,Radial Velocity,2009.0,Thueringer Landessternwarte Tautenburg,0.0,335.10001,2.5,-2.5,0.0,0.99,0.02,-0.02,0.0,12.3,,,0.0,1.1,,,0.0,4392.4106,572.094,-572.094,0,13.82,1.8,-1.8,0.0,Msini,0.29,0.09,-0.09,0.0,,,,,,,,,0,F6 V,6331.0
19,42 Draconis b,296,3.88 Jupiters,4.82,2008,4 UMa b,4 UMa,1,1.0,Radial Velocity,2006.0,Thueringer Landessternwarte Tautenburg,0.0,269.3,1.96,-1.96,0.0,0.87,0.04,-0.04,0.0,12.7,,,0.0,1.13,,,0.0,2256.5,508.5,-508.5,0,7.1,1.6,-1.6,0.0,Msini,0.432,0.024,-0.024,0.0,,,,,,,,,0,K1 III,4415.0
20,47 Ursae Majoris b,45,2.53 Jupiters,5.05,1996,42 Dra b,42 Dra,2,1.0,Radial Velocity,2008.0,Thueringer Landessternwarte Tautenburg,0.0,479.1,6.2,-6.2,0.0,1.19,0.01,-0.01,0.0,13.0,,,0.0,1.16,,,0.0,1233.13,270.14,-270.14,0,3.88,0.85,-0.85,0.0,Msini,0.38,0.06,-0.06,0.0,,,,,,,,,0,K1.5 III,4200.0
21,47 Ursae Majoris c,45,0.54 Jupiters,5.05,2001,47 UMa b,47 UMa,1,3.0,Radial Velocity,1996.0,Lick Observatory,0.0,1078.0,2.0,-2.0,0.0,2.1,0.02,-0.02,0.0,13.2,,,0.0,1.18,,,0.0,804.08,22.25,-19.07,0,2.53,0.07,-0.06,0.0,Msini,0.032,0.014,-0.014,0.0,,,,,,,,,0,G0 V,5872.0
22,47 Ursae Majoris d,45,1.64 Jupiters,5.05,2009,47 UMa c,47 UMa,1,3.0,Radial Velocity,2001.0,Lick Observatory,0.0,2391.0,100.0,-87.0,0.0,3.6,0.1,-0.1,0.0,14.2,,,0.0,1.27,,,0.0,171.621,20.976,-23.201,0,0.54,0.066,-0.073,0.0,Msini,0.098,0.047,-0.096,0.0,,,,,,,,,0,G1 V,5872.0
23,4 Ursae Majoris b,240,7.1 Jupiters,4.61,2006,47 UMa d,47 UMa,1,3.0,Radial Velocity,2009.0,Lick Observatory,0.0,14002.0,4018.0,-5095.0,0.0,11.6,2.1,-2.9,0.0,13.5,,,0.0,1.2,,,0.0,521.22,92.17,-152.55,0,1.64,0.29,-0.48,0.0,Msini,0.16,0.09,-0.16,0.0,,,,,,,,,0,G0V,5872.0
24,51 Eridani b,96,2 Jupiters,5.23,2015,51 Eri b,51 Eri,3,1.0,Imaging,2015.0,Gemini Observatory,0.0,11688.0,6209.25,-3287.25,0.0,12.0,4.0,-2.0,0.0,13.4,,,0.0,1.19,,,0.0,635.66,,,0,2.0,,,0.0,Mass,0.45,0.1,-0.15,0.0,,,,,700,,,0.0,0,F0 IV,7295.0
25,51 Pegasi b,50,0.46 Jupiters,5.5,1995,51 Peg b,51 Peg,1,1.0,Radial Velocity,1995.0,Haute-Provence Observatory,0.0,4.230785,3.6e-05,-3.6e-05,0.0,0.0527,0.003,-0.003,0.0,14.3,,,0.0,1.27,,,0.0,146.2018,19.0698,-3.1783,0,0.46,0.06,-0.01,0.0,Mass,0.013,0.012,-0.012,0.0,,,,,,,,,0,G5V,5758.0
26,55 Cancri b,41,0.8306 Jupiters,5.96,1996,55 Cnc b,55 Cnc,2,5.0,Radial Velocity,1996.0,Lick Observatory,0.0,14.6516,0.0001,-0.0001,0.0,0.1134,0.0006,-0.0006,0.0,13.9,,,0.0,1.24,,,0.0,263.9785,1.0488,-1.0488,0,0.8306,0.0033,-0.0033,0.0,Mass,0.0,0.01,-0.01,0.0,,,,,700,,,0.0,0,K0 IV-V,5172.0
27,55 Cancri c,41,0.1714 Jupiters,5.96,2004,55 Cnc c,55 Cnc,2,5.0,Radial Velocity,2004.0,McDonald Observatory,0.0,44.3989,0.0042,-0.0043,0.0,0.2373,0.0013,-0.0013,0.0,8.51,,,0.0,0.76,,,0.0,54.4738,1.748,-1.748,0,0.1714,0.0055,-0.0055,0.0,Mass,0.03,0.02,-0.02,0.0,,,,,,,,,0,G8V,5172.0
28,55 Cancri d,41,3.878 Jupiters,5.96,2002,55 Cnc d,55 Cnc,2,5.0,Radial Velocity,2002.0,Lick Observatory,0.0,5574.2,93.8,-88.6,0.0,5.957,0.074,-0.071,0.0,13.0,,,0.0,1.16,,,0.0,1232.493,21.612,-21.612,0,3.878,0.068,-0.068,0.0,Mass,0.13,0.02,-0.02,0.0,,,,,,,,,0,G8 V,5172.0
29,55 Cancri e,41,8.08 Earths,5.96,2004,55 Cnc e,55 Cnc,2,5.0,Radial Velocity,2004.0,McDonald Observatory,0.0,0.7365474,1.3e-06,-1.4e-06,0.0,0.01544,5e-05,-5e-05,0.0,1.875,0.029,-0.029,0.0,0.167,0.003,-0.003,0.0,7.99,0.32,-0.33,0,0.02514,0.00101,-0.00104,0.0,Mass,0.05,0.03,-0.03,0.0,,,,,1958,15.0,-15.0,0.0,0,G8 V,5172.0
30,55 Cancri f,41,0.141 Jupiters,5.96,2007,55 Cnc f,55 Cnc,2,5.0,Radial Velocity,2007.0,Multiple Observatories,0.0,259.88,0.29,-0.29,0.0,0.7708,0.0043,-0.0044,0.0,7.59,,,0.0,0.677,,,0.0,44.812,3.814,-3.814,0,0.141,0.012,-0.012,0.0,Mass,0.08,0.05,-0.04,0.0,,,,,,,,,0,G8V,5172.0
31,61 Virginis b,28,5.1 Earths,4.74,2009,6 Lyn b,6 Lyn,1,1.0,Radial Velocity,2008.0,Okayama Astrophysical Observatory,0.0,934.3,8.6,-8.6,0.0,2.11,0.11,-0.11,0.0,13.4,,,0.0,1.19,,,0.0,638.8383,24.47291,-24.47291,0,2.01,0.077,-0.077,0.0,Msini,0.073,0.036,-0.036,0.0,,,,,,,,,0,K0 IV,4938.0
32,61 Virginis c,28,18.2 Earths,4.74,2009,61 Vir b,61 Vir,1,3.0,Radial Velocity,2009.0,Multiple Observatories,0.0,4.215,0.0006,-0.0006,0.0,0.050201,5e-06,-5e-06,0.0,2.11,,,0.0,0.188,,,0.0,5.1,0.5,-0.5,0,0.016,0.002,-0.002,0.0,Msini,0.12,0.11,-0.11,0.0,,,,,,,,,0,G5 V,5577.0
33,61 Virginis d,28,22.9 Earths,4.74,2009,61 Vir c,61 Vir,1,3.0,Radial Velocity,2009.0,Multiple Observatories,0.0,38.021,0.034,-0.034,0.0,0.2175,0.0001,-0.0001,0.0,4.46,,,0.0,0.398,,,0.0,18.2,1.1,-1.1,0,0.057,0.003,-0.003,0.0,Msini,0.14,0.06,-0.06,0.0,,,,,,,,,0,G5 V,5577.0
34,6 Lyncis b,179,2.01 Jupiters,5.86,2008,61 Vir d,61 Vir,1,3.0,Radial Velocity,2009.0,Multiple Observatories,0.0,123.01,0.55,-0.55,0.0,0.476,0.001,-0.001,0.0,5.11,,,0.0,0.456,,,0.0,22.9,2.6,-2.6,0,0.072,0.008,-0.008,0.0,Msini,0.35,0.09,-0.09,0.0,,,,,,,,,0,G5 V,5577.0
35,70 Virginis b,58,7.49 Jupiters,4.97,1996,7 CMa b,7 CMa,1,2.0,Radial Velocity,2011.0,Anglo-Australian Telescope,0.0,735.1,14.8,-1.0,0.0,1.758,0.024,-0.001,0.0,13.4,,,0.0,1.2,,,0.0,587.9855,19.0698,-19.0698,0,1.85,0.06,-0.06,0.0,Msin(i)/sin(i),0.06,0.03,-0.03,0.0,,,,,,,,,0,K1 III,4826.0
36,75 Ceti b,271,3 Jupiters,5.35,2012,7 CMa c,7 CMa,1,2.0,Radial Velocity,2019.0,Multiple Observatories,0.0,996.0,1.5,-52.4,0.0,2.153,0.003,-0.08,0.0,13.9,,,0.0,1.24,,,0.0,276.5121,19.0698,-19.0698,0,0.87,0.06,-0.06,0.0,Msin(i)/sin(i),0.08,0.05,-0.04,0.0,,,,,,,,,0,K1III(+M),4826.0
37,7 Canis Majoris b,65,1.85 Jupiters,3.92,2011,70 Vir b,70 Vir,1,1.0,Radial Velocity,1996.0,Lick Observatory,0.0,116.688,0.0054,-0.0054,0.0,0.481,0.022,-0.022,0.0,12.6,,,0.0,1.13,,,0.0,2380.45,193.87,-193.87,0,7.49,0.61,-0.61,0.0,Mass,0.3988,0.0019,-0.0019,0.0,,,,,,,,,0,G5V,5495.0
38,7 Canis Majoris c,65,0.87 Jupiters,3.92,2019,75 Cet b,75 Cet,2,1.0,Radial Velocity,2012.0,Okayama Astrophysical Observatory,0.0,691.9,3.6,-3.6,0.0,2.1,,,0.0,13.1,,,0.0,1.17,,,0.0,953.49,,,0,3.0,,,0.0,Msini,0.117,0.048,-0.048,0.0,,,,,,,,,0,G3 III,4846.0
39,81 Ceti b,331,5.3 Jupiters,5.65,2008,8 UMi b,8 UMi,1,1.0,Radial Velocity,2015.0,Bohyunsan Optical Astronomical Observatory,0.0,93.4,4.5,-4.5,0.0,0.49,0.02,-0.02,0.0,13.6,,,0.0,1.22,,,0.0,416.3573,50.8528,-50.8528,0,1.31,0.16,-0.16,0.0,Msini,0.06,0.09,-0.09,0.0,,,,,,,,,0,K0,4847.0
40,8 Ursae Minoris b,533,1.31 Jupiters,6.83,2015,81 Cet b,81 Cet,1,1.0,Radial Velocity,2008.0,Okayama Astrophysical Observatory,0.0,952.7,8.8,-8.8,0.0,2.5,,,0.0,12.8,,,0.0,1.14,,,0.0,1684.4,,,0,5.3,,,0.0,Msini,0.206,0.029,-0.029,0.0,,,,,,,,,0,G5 III,4785.0
41,91 Aquarii b,144,3.2 Jupiters,4.25,2013,91 Aqr b,91 Aqr,3,1.0,Radial Velocity,2013.0,Lick Observatory,0.0,181.4,0.1,-0.1,0.0,0.7,,,0.0,13.1,,,0.0,1.17,,,0.0,1017.0,,,0,3.2,,,0.0,Msini,0.027,0.026,-0.026,0.0,,,,,,,,,0,K0 III,4665.0
42,AB Pictoris b,163,13.5 Jupiters,9.128,2005,AB Pic b,AB Pic,1,1.0,Imaging,2005.0,Paranal Observatory,0.0,,,,,260.0,,,0.0,12.3,,,0.0,1.1,,,0.0,4290.5,158.9,-158.9,0,13.5,0.5,-0.5,0.0,Mass,,,,,,,,,,,,,0,K2 V,5285.0
43,Alpha Arietis b,66,1.8 Jupiters,2.0,2010,AU Mic b,AU Mic,1,2.0,Transit,2020.0,Transiting Exoplanet Survey Satellite (TESS),0.0,8.463,2e-06,-2e-06,0.0,0.0645,0.0013,-0.0013,0.0,4.07,0.17,-0.17,0.0,0.363,0.015,-0.015,0.0,17.0,5.0,-5.0,0,0.05349,0.01573,-0.01573,0.0,Mass,0.0,,,0.0,,,,,593,21.0,-21.0,0.0,0,M1VE,3700.0
44,Alpha Tauri b,67,6.47 Jupiters,0.85,2015,AU Mic c,AU Mic,1,2.0,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),0.0,18.859019,1.6e-05,-1.6e-05,0.0,0.1101,0.0022,-0.0022,0.0,3.24,0.16,-0.16,0.0,0.289,0.014,-0.014,0.0,13.6,11.4,-11.4,0,0.04279,0.03587,-0.03587,0.0,Mass,0.0,,,0.0,,,,,454,16.0,-16.0,0.0,0,M1VE,3700.0
45,AU Microscopii b,32,0.18 Jupiters,8.81,2020,BD+03 2562 b,BD+03 2562,1,1.0,Radial Velocity,2017.0,Multiple Observatories,0.0,481.9,2.7,-2.8,0.0,1.3,0.1,-0.1,0.0,12.7,,,0.0,1.13,,,0.0,2034.112,413.179,-413.179,0,6.4,1.3,-1.3,0.0,Msini,0.2,0.12,-0.08,0.0,,,,,,,,,0,,4095.0
46,BD+03 2562 b,8540,6.4 Jupiters,9.58,2017,BD+14 4559 b,BD+14 4559,1,1.0,Radial Velocity,2009.0,McDonald Observatory,0.0,268.94,0.99,-0.99,0.0,0.78,0.05,-0.05,0.0,13.8,,,0.0,1.23,,,0.0,330.5432,149.3801,-149.3801,0,1.04,0.47,-0.47,0.0,Msini,0.29,0.03,-0.03,0.0,,,,,,,,,0,K2 V,4864.0
47,BD-06 1339 b,66,8.5 Earths,9.7,2013,BD+15 2375 b,BD+15 2375,1,1.0,Radial Velocity,2016.0,Roque de los Muchachos Observatory,0.0,153.22,0.44,-0.44,0.0,0.576,0.027,-0.027,0.0,13.8,,,0.0,1.23,,,0.0,337.21763,85.8141,-85.8141,0,1.061,0.27,-0.27,0.0,Msini,0.001,0.25,-0.001,0.0,,,,,,,,,0,G5,4649.0
48,BD-06 1339 c,66,0.17 Jupiters,9.7,2013,BD+15 2940 b,BD+15 2940,1,1.0,Radial Velocity,2013.0,McDonald Observatory,0.0,137.48,0.34,-0.34,0.0,0.539,,,0.0,13.7,,,0.0,1.23,,,0.0,352.78,,,0,1.11,,,0.0,Msini,0.26,0.1,-0.1,0.0,,,,,,,,,0,K0,4796.0
49,BD-08 2823 b,135,12.7132 Earths,9.88,2009,BD+20 2457 b,BD+20 2457,1,2.0,Radial Velocity,2009.0,McDonald Observatory,0.0,379.63,2.0,-2.0,0.0,1.05,0.07,-0.07,0.0,11.6,,,0.0,1.03,,,0.0,17668.1697,24965.5465,-24965.5465,0,55.59,78.55,-78.55,0.0,Msini,0.15,0.03,-0.03,0.0,,,,,,,,,0,K2 II,4259.0
50,BD-08 2823 c,135,0.33 Jupiters,9.88,2009,BD+20 2457 c,BD+20 2457,1,2.0,Radial Velocity,2009.0,McDonald Observatory,0.0,621.99,10.2,-10.2,0.0,2.01,,,0.0,12.4,,,0.0,1.1,,,0.0,3963.17,,,0,12.47,,,0.0,Msini,0.18,0.06,-0.06,0.0,,,,,,,,,0,K2 II,4137.0
51,BD-10 3166 b,276,0.59 Jupiters,10.08,2000,BD+20 274 b,BD+20 274,1,1.0,Radial Velocity,2012.0,McDonald Observatory,0.0,578.2,5.4,-5.4,0.0,1.3,,,0.0,13.0,,,0.0,1.16,,,0.0,1334.886,,,0,4.2,,,0.0,Msini,0.21,0.06,-0.06,0.0,,,,,,,,,0,K5 III,4296.0
52,BD-11 4672 b,89,0.65 Jupiters,9.99,2014,BD+20 594 b,BD+20 594,1,1.0,Transit,2016.0,K2,0.0,41.6855,0.003,-0.003,0.0,0.241,0.019,-0.017,0.0,2.578,0.112,-0.112,0.0,0.23,0.01,-0.01,0.0,22.2481,9.5349,-9.5349,0,0.07,0.03,-0.03,0.0,Mass,0.0,,,0.0,,,,,546,19.0,-18.0,0.0,0,G,5766.0
53,BD-11 4672 c,89,15.37 Earths,9.99,2020,BD+45 564 b,BD+45 564,1,1.0,Radial Velocity,2021.0,Haute-Provence Observatory,0.0,307.88,1.47,-1.47,0.0,0.83,0.04,-0.04,0.0,13.6,,,0.0,1.21,,,0.0,432.24663,38.13941,-38.13941,0,1.36,0.12,-0.12,0.0,Msini,0.12,0.06,-0.06,0.0,,,,,,,,,0,K1,5004.0
54,BD-13 2130 b,3095,9.78 Jupiters,9.45,2007,BD+48 738 b,BD+48 738,1,1.0,Radial Velocity,2011.0,McDonald Observatory,0.0,392.6,5.5,-5.5,0.0,1.0,,,0.0,13.9,,,0.0,1.24,,,0.0,289.2253,,,0,0.91,,,0.0,Msini,0.2,0.1,-0.1,0.0,,,,,,,,,0,K0 III,4414.0
55,BD+14 4559 b,161,1.04 Jupiters,9.63,2009,BD+48 740 b,BD+48 740,1,1.0,Radial Velocity,2018.0,Multiple Observatories,0.0,733.0,5.0,-8.0,0.0,1.7,0.1,-0.1,0.0,13.5,,,0.0,1.2,,,0.0,540.311,222.481,-222.481,0,1.7,0.7,-0.7,0.0,Msini,0.76,0.05,-0.09,0.0,,,,,,,,,0,K3 III,4534.0
56,BD+15 2375 b,2525,1.061 Jupiters,10.31,2016,BD+49 828 b,BD+49 828,1,1.0,Radial Velocity,2015.0,McDonald Observatory,0.0,2590.0,300.0,-180.0,0.0,4.2,0.32,-0.2,0.0,13.5,,,0.0,1.21,,,0.0,508.5,127.1,-63.6,0,1.6,0.4,-0.2,0.0,Msini,0.35,0.24,-0.1,0.0,,,,,,,,,0,K0,4943.0
57,BD+15 2940 b,1408,1.11 Jupiters,9.046,2013,BD+55 362 b,BD+55 362,1,1.0,Radial Velocity,2021.0,Haute-Provence Observatory,0.0,265.59,1.04,-1.04,0.0,0.78,0.05,-0.05,0.0,14.0,,,0.0,1.25,,,0.0,228.83645,25.42627,-25.42627,0,0.72,0.08,-0.08,0.0,Msini,0.27,0.06,-0.06,0.0,,,,,,,,,0,K3,5012.0
58,BD-17 63 b,113,5.1 Jupiters,9.566,2008,BD+63 1405 b,BD+63 1405,1,1.0,Radial Velocity,2021.0,Haute-Provence Observatory,0.0,1198.48,60.79,-60.79,0.0,2.06,0.14,-0.14,0.0,13.0,,,0.0,1.16,,,0.0,1258.60049,98.52681,-98.52681,0,3.96,0.31,-0.31,0.0,Msini,0.88,0.02,-0.02,0.0,,,,,,,,,0,K0,5000.0
59,BD+20 2457 b,5450,55.59 Jupiters,9.75,2009,BD-00 4475 b,BD-00 4475,1,1.0,Radial Velocity,2021.0,Haute-Provence Observatory,0.0,723.2,0.74,-0.74,0.0,1.48,0.11,-0.11,0.0,12.0,,,0.0,1.07,,,0.0,7961.6016,708.75735,-708.75735,0,25.05,2.23,-2.23,0.0,Msini,0.39,0.01,-0.01,0.0,,,,,,,,,0,G0,5040.0
60,BD+20 2457 c,5450,12.47 Jupiters,9.75,2009,BD-06 1339 b,BD-06 1339,1,2.0,Radial Velocity,2013.0,La Silla Observatory,0.0,3.8728,0.0004,-0.0004,0.0,0.0428,0.0007,-0.0007,0.0,2.85,,,0.0,0.254,,,0.0,8.5,1.3,-1.3,0,0.027,0.004,-0.004,0.0,Msini,0.0,,,0.0,,,,,,,,,0,K7/M0 V,4324.0
61,BD+20 274 b,4514,4.2 Jupiters,9.36,2012,BD-06 1339 c,BD-06 1339,1,2.0,Radial Velocity,2013.0,La Silla Observatory,0.0,125.94,0.44,-0.44,0.0,0.435,0.007,-0.007,0.0,8.38,,,0.0,0.747,,,0.0,53.0,8.0,-8.0,0,0.17,0.03,-0.03,0.0,Msini,0.31,0.11,-0.11,0.0,,,,,,,,,0,K7/M0 V,4324.0
62,BD+20 594 b,588,22.2481 Earths,11.038,2016,BD-08 2823 b,BD-08 2823,1,2.0,Radial Velocity,2009.0,La Silla Observatory,0.0,5.6,0.02,-0.02,0.0,0.06,0.0,0.0,0.0,3.61,,,0.0,0.322,,,0.0,12.7132,3.1783,-3.1783,0,0.04,0.01,-0.01,0.0,Msini,0.15,0.15,-0.15,0.0,,,,,,,,,0,K3 V,4816.0
63,BD+48 738 b,2910,0.91 Jupiters,9.14,2011,BD-08 2823 c,BD-08 2823,1,2.0,Radial Velocity,2009.0,La Silla Observatory,0.0,237.6,1.5,-1.5,0.0,0.68,0.02,-0.02,0.0,12.5,,,0.0,1.11,,,0.0,104.0,10.0,-10.0,0,0.33,0.03,-0.03,0.0,Msini,0.19,0.09,-0.09,0.0,,,,,,,,,0,K3 V,4746.0
64,BD+48 740 b,2215,1.7 Jupiters,8.699,2018,BD-10 3166 b,BD-10 3166,1,1.0,Radial Velocity,2000.0,W. M. Keck Observatory,0.0,3.48777,0.00011,-0.00011,0.0,0.04,0.0,0.0,0.0,14.1,,,0.0,1.26,,,0.0,187.5197,22.2481,-22.2481,0,0.59,0.07,-0.07,0.0,Msini,0.02,0.02,-0.02,0.0,,,,,,,,,0,K0 V,5393.0
