,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff
4312,WASP-140 b,WASP-140,2,1.0,Transit,2016,SuperWASP-South,0,2.2359835,0.00000080,-8e-07,0,0.0323,0.0005,-0.0005,0.0,16.141,4.708,-2.018,0.0,1.44,0.42,-0.18,0.0,775.5052,22.2481,-22.2481,0.0,2.44,0.07,-0.07,0.0,Mass,0.047,0.0035,-0.0035,0.0,,,,,1320.0,40.0,-40.0,0.0,0.0,K0,5260.0,100.0,-100.0,0,0.87,0.04
4313,WASP-141 b,WASP-141,1,1.0,Transit,2016,SuperWASP-South,0,3.310651,0.00000500,-5e-06,0,0.0469,0.0007,-0.0007,0.0,13.563,0.897,-0.897,0.0,1.21,0.08,-0.08,0.0,854.9627,47.6745,-47.6745,0.0,2.69,0.15,-0.15,0.0,Mass,0.0,,,0.0,,,,,1540.0,50.0,-50.0,0.0,0.0,F9,5900.0,120.0,-120.0,0,1.37,0.07
4314,WASP-142 b,WASP-142,1,1.0,Transit,2016,SuperWASP-South,0,2.052868,0.00000200,-2e-06,0,0.0347,0.0007,-0.0007,0.0,17.15,0.897,-0.897,0.0,1.53,0.08,-0.08,0.0,266.9772,28.6047,-28.6047,0.0,0.84,0.09,-0.09,0.0,Mass,0.0,,,0.0,,,,,2000.0,60.0,-60.0,0.0,0.0,F8,6010.0,140.0,-140.0,0,1.64,0.08
4315,WASP-144 b,WASP-144,1,1.0,Transit,2018,SuperWASP-South,0,2.2783152,0.00000130,-1.3e-06,0,0.0316,0.0005,-0.0005,0.0,9.528,0.56,-0.56,0.0,0.85,0.05,-0.05,0.0,139.8452,19.0698,-19.0698,0.0,0.44,0.06,-0.06,0.0,Mass,0.0,,,0.0,,,,,1260.0,40.0,-40.0,0.0,0.0,K2 V,5200.0,140.0,-140.0,0,0.81,0.04
4316,WASP-145 A b,WASP-145 A,2,1.0,Transit,2018,SuperWASP-South,0,1.7690381,0.00000080,-8e-07,0,0.0261,0.0005,-0.0005,0.0,10.088,4.484,-4.484,0.0,0.9,0.4,-0.4,0.0,282.8687,12.7132,-12.7132,0.0,0.89,0.04,-0.04,0.0,Mass,0.0,,,0.0,,,,,1200.0,60.0,-60.0,0.0,0.0,K2 V,4900.0,150.0,-150.0,0,0.68,0.07
4317,WASP-147 b,WASP-147,1,1.0,Transit,2018,SuperWASP-South,0,4.60273,0.00002700,-2.7e-05,0,0.0549,0.0012,-0.0013,0.0,12.498,1.569,-1.042,0.0,1.115,0.14,-0.093,0.0,87.40325,8.89924,-8.58141,0.0,0.275,0.028,-0.027,0.0,Mass,0.0,,,0.0,,,,,1404.0,69.0,-43.0,0.0,0.0,G4,5702.0,100.0,-100.0,0,1.43,0.14
4318,WASP-148 b,WASP-148,1,2.0,Transit,2020,SuperWASP-North,0,8.80381,0.00004300,-4.3e-05,0,0.0845,0.0022,-0.0022,0.0,8.093,0.616,-0.616,0.0,0.722,0.055,-0.055,0.0,92.48853,7.94575,-7.94575,0.0,0.291,0.025,-0.025,0.0,Mass,0.22,0.063,-0.063,0.0,94.97,,,,940.0,80.0,-80.0,0.0,1.0,G,5460.0,130.0,-130.0,0,1.03,0.2
4319,WASP-148 c,WASP-148,1,2.0,Radial Velocity,2020,Haute-Provence Observatory,0,34.516,0.02900000,-0.029,0,0.2101,0.0055,-0.0055,0.0,14.0,,,0.0,1.25,,,0.0,127.132,15.8915,-15.8915,0.0,0.4,0.05,-0.05,0.0,Mass,0.359,0.086,-0.086,0.0,,,,,590.0,50.0,-50.0,0.0,0.0,G,5460.0,130.0,-130.0,0,1.03,0.2
4320,WASP-15 b,WASP-15,1,1.0,Transit,2009,SuperWASP,0,3.7521,0.00001000,-1e-05,0,0.05165,0.00067,-0.00067,0.0,15.805,4.035,-4.035,0.0,1.41,0.36,-0.36,0.0,171.6282,92.1707,-92.1707,0.0,0.54,0.29,-0.29,0.0,Mass,0.0,,,0.0,,,,,1676.0,29.0,-29.0,0.0,0.0,F7,6300.0,100.0,-100.0,0,1.48,0.38
4321,WASP-150 b,WASP-150,1,1.0,Transit,2020,SuperWASP-North,0,5.644207,0.00000300,-4e-06,0,0.0694,0.0011,-0.0008,0.0,11.994,0.269,-0.28,0.0,1.07,0.024,-0.025,0.0,2688.8418,88.9924,-63.566,0.0,8.46,0.28,-0.2,0.0,Mass,0.3775,0.0038,-0.0029,0.0,,,,,1460.0,11.0,-11.0,0.0,0.0,F8,6218.0,49.0,-45.0,0,1.65,0.02
4322,WASP-151 b,WASP-151,1,1.0,Transit,2017,SuperWASP-South,0,4.533471,0.00000400,-4e-06,0,0.055,0.001,-0.001,0.0,12.666,0.336,-0.336,0.0,1.13,0.03,-0.03,0.0,98.5273,12.7132,-9.5349,0.0,0.31,0.04,-0.03,0.0,Mass,0.003,,,1.0,460.00,20.0,-20.0,0.0,1290.0,20.0,-10.0,0.0,0.0,G1,5871.0,57.0,-57.0,0,1.14,0.03
4323,WASP-153 b,WASP-153,1,1.0,Transit,2017,SuperWASP,0,3.332609,0.00000200,-2e-06,0,0.048,0.001,-0.001,0.0,17.374,1.121,-0.897,0.0,1.55,0.1,-0.08,0.0,123.9537,6.3566,-6.3566,0.0,0.39,0.02,-0.02,0.0,Mass,0.009,,,1.0,1400.00,200.0,-100.0,0.0,1700.0,40.0,-40.0,0.0,0.0,G0,5914.0,64.0,-64.0,0,1.73,0.1
4324,WASP-156 b,WASP-156,1,1.0,Transit,2017,SuperWASP,0,3.836169,0.00000300,-3e-06,0,0.0453,0.0009,-0.0009,0.0,5.717,0.224,-0.224,0.0,0.51,0.02,-0.02,0.0,40.68224,3.1783,-2.86047,0.0,0.128,0.01,-0.009,0.0,Mass,0.007,,,1.0,150.00,10.0,-10.0,0.0,970.0,30.0,-20.0,0.0,0.0,K3,4910.0,61.0,-61.0,0,0.76,0.03
4325,WASP-157 b,WASP-157,1,1.0,Transit,2016,SuperWASP,0,3.951623,0.00001800,-1.8e-05,0,0.0499,0.0006,-0.0006,0.0,11.19,0.28,-0.28,0.0,0.998,0.025,-0.025,0.0,182.43442,29.55819,-29.55819,0.0,0.574,0.093,-0.093,0.0,Mass,0.0,,,0.0,,,,,1193.0,24.0,-24.0,0.0,0.0,G2 V,5772.0,86.0,-86.0,0,1.10,0.03
